Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size
PSCM,PowerShares S&P SmallCap Materials Portfolio,PowerShares S&P SmallCap Materials Portfolio,G,N,N,100.0
PSCT,PowerShares S&P SmallCap Information Technology Portfolio,PowerShares S&P SmallCap Information Technology Portfolio,G,N,N,100.0
PSCU,PowerShares S&P SmallCap Utilities Portfolio,PowerShares S&P SmallCap Utilities Portfolio,G,N,N,100.0
PSEC,Prospect Capital Corporation,Prospect Capital Corporation - Common Stock,Q,N,N,100.0
PSIX,"Power Solutions International, Inc.","Power Solutions International, Inc. - Common Stock",S,N,N,100.0
PSMT,"PriceSmart, Inc.","PriceSmart, Inc. - Common Stock",Q,N,N,100.0
PTC,PTC Inc.,PTC Inc. - Common Stock,Q,N,N,100.0
PTCT,"PTC Therapeutics, Inc.","PTC Therapeutics, Inc. - Common Stock",Q,N,N,100.0
PTEN,Patterson,"Patterson-UTI Energy, Inc. - Common Stock",Q,N,N,100.0
PTSI,"P.A.M. Transportation Services, Inc.","P.A.M. Transportation Services, Inc. - Common Stock",G,N,N,100.0
PWOD,"Penns Woods Bancorp, Inc.","Penns Woods Bancorp, Inc. - Common Stock",Q,N,N,100.0
PXLW,"Pixelworks, Inc.","Pixelworks, Inc. - Common Stock",G,N,N,100.0
PZZA,"Papa John'S International, Inc.","Papa John'S International, Inc. - Common Stock",Q,N,N,100.0
QABA,First Trust NASDAQ ABA Community Bank Index Fund,First Trust NASDAQ ABA Community Bank Index Fund,G,N,N,100.0
QAT,iShares MSCI Qatar Capped ETF,iShares MSCI Qatar Capped ETF,G,N,N,100.0
QBAK,Qualstar Corporation,Qualstar Corporation - Common Stock,S,N,N,100.0
QCCO,"QC Holdings, Inc.","QC Holdings, Inc. - Common Stock",G,N,N,100.0
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,First Trust NASDAQ Clean Edge Green Energy Index Fund,G,N,N,100.0
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated - Common Stock,Q,N,N,100.0
QCRH,"QCR Holdings, Inc.","QCR Holdings, Inc. - Common Stock",G,N,N,100.0
QDEL,Quidel Corporation,Quidel Corporation - Common Stock,Q,N,N,100.0
QGEN,Qiagen N.V.,Qiagen N.V. - Common Shares,Q,N,N,100.0
QIWI,QIWI plc,QIWI plc - American Depositary Shares,Q,N,N,100.0
QKLS,"QKL Stores, Inc.","QKL Stores, Inc. - Common Stock",S,N,N,100.0
QLTY,"Quality Distribution, Inc.","Quality Distribution, Inc. - Common Stock",G,N,N,100.0
QLYS,"Qualys, Inc.","Qualys, Inc. - Common Stock",Q,N,N,100.0
QNST,"QuinStreet, Inc.","QuinStreet, Inc. - Common Stock",Q,N,N,100.0
QQEW,First Trust NASDAQ,First Trust NASDAQ-100 Equal Weighted Index Fund,G,N,N,100.0
QQQ,"PowerShares QQQ Trust, Series 1","PowerShares QQQ Trust, Series 1",G,N,N,100.0
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,Nuveen NASDAQ 100 Dynamic Overwrite Fund - Shares of Beneficial Interest,Q,N,N,100.0
QQXT,First Trust NASDAQ,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,G,N,N,100.0
QRHC,Quest Resource Holding Corporation.,Quest Resource Holding Corporation. - Common Stock,S,N,N,100.0
QRVO,"Qorvo, Inc.","Qorvo, Inc. - Common Stock",Q,N,N,100.0
QTEC,First Trust NASDAQ,First Trust NASDAQ-100- Technology Index Fund,G,N,N,100.0
QUIK,QuickLogic Corporation,QuickLogic Corporation - Common Stock,G,N,N,100.0
QURE,uniQure N.V.,uniQure N.V. - Ordinary Shares,Q,N,N,100.0
QYLD,Recon Capital NASDAQ,Recon Capital NASDAQ-100 Covered Call ETF,G,N,N,100.0
RAIL,"Freightcar America, Inc.","Freightcar America, Inc. - Common Stock",Q,N,N,100.0
RAND,Rand Capital Corporation,Rand Capital Corporation - Common Stock ($0.10 Par Value),S,N,N,100.0
RARE,Ultragenyx Pharmaceutical Inc.,Ultragenyx Pharmaceutical Inc. - Common Stock,Q,N,N,100.0
RAVE,"Rave Restaurant Group, Inc.","Rave Restaurant Group, Inc. - Common Stock",S,N,N,100.0
RBCAA,"Republic Bancorp, Inc.","Republic Bancorp, Inc. - Class A Common Stock",Q,N,N,100.0
RBCN,"Rubicon Technology, Inc.","Rubicon Technology, Inc. - Common Stock",Q,N,N,100.0
RCKY,"Rocky Brands, Inc.","Rocky Brands, Inc. - Common Stock",Q,N,N,100.0
RCMT,"RCM Technologies, Inc.","RCM Technologies, Inc. - Common Stock",G,N,N,100.0
RCON,"Recon Technology, Ltd.","Recon Technology, Ltd. - Ordinary Shares",S,N,N,100.0
RDCM,Radcom Ltd.,Radcom Ltd. - Ordinary Shares,S,N,N,100.0
RDHL,Redhill Biopharma Ltd.,Redhill Biopharma Ltd. - American Depositary Shares,S,N,N,100.0
RDI,Reading International Inc,Reading International Inc - Class A Non-voting Common Stock,S,N,N,100.0
RDIB,Reading International Inc,Reading International Inc - Class B Voting Common Stock,S,N,N,100.0
RDNT,"RadNet, Inc.","RadNet, Inc. - Common Stock",G,N,N,100.0
RDUS,"Radius Health, Inc.","Radius Health, Inc. - Common Stock",G,N,N,100.0
RDVY,First Trust NASDAQ Rising Dividend Achievers ETF,First Trust NASDAQ Rising Dividend Achievers ETF,G,N,N,100.0
RDWR,Radware Ltd.,Radware Ltd. - Ordinary Shares,Q,N,N,100.0
REFR,Research Frontiers Incorporated,Research Frontiers Incorporated - Common Stock,S,N,N,100.0
REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
RELL,"Richardson Electronics, Ltd.","Richardson Electronics, Ltd. - Common Stock",Q,N,N,100.0
RELV,"Reliv' International, Inc.","Reliv' International, Inc. - Common Stock",Q,N,N,100.0
RENT,Rentrak Corporation,Rentrak Corporation - Common Stock,Q,N,N,100.0
RFIL,"RF Industries, Ltd.","RF Industries, Ltd. - Common Stock",G,N,N,100.0
RGCO,RGC Resources Inc.,RGC Resources Inc. - Common Stock,G,N,N,100.0
RGEN,Repligen Corporation,Repligen Corporation - Common Stock,Q,N,N,100.0
RGLD,"Royal Gold, Inc.","Royal Gold, Inc. - Common Stock",Q,N,N,100.0
RGLS,Regulus Therapeutics Inc.,Regulus Therapeutics Inc. - Common Stock,G,N,N,100.0
RIBT,RiceBran Technologies,RiceBran Technologies - Common Stock,S,N,N,100.0
RICK,"RCI Hospitality Holdings, Inc.","RCI Hospitality Holdings, Inc. - Common Stock",G,N,N,100.0
RIGL,"Rigel Pharmaceuticals, Inc.","Rigel Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0
RITT,RIT Technologies Ltd.,RIT Technologies Ltd. - ordinary shares,S,N,N,100.0
RMBS,"Rambus, Inc.","Rambus, Inc. - Common Stock",Q,N,N,100.0
RMCF,"Rocky Mountain Chocolate Factory, Inc.","Rocky Mountain Chocolate Factory, Inc. - Common Stock",G,N,N,100.0
RMTI,"Rockwell Medical, Inc.","Rockwell Medical, Inc. - Common Stock",G,N,N,100.0
RNA,Prosensa Holding N.V.,Prosensa Holding N.V. - Ordinary Shares,Q,N,N,100.0
RNST,Renasant Corporation,Renasant Corporation - Common Stock,Q,N,N,100.0
ROBO,Robo,Robo-Stox Global Robotics and Automation Index ETF,G,N,N,100.0
ROCK,"Gibraltar Industries, Inc.","Gibraltar Industries, Inc. - Common Stock",Q,N,N,100.0
ROIC,Retail Opportunity Investments Corp.,Retail Opportunity Investments Corp. - Common Stock,Q,N,N,100.0
ROSE,Rosetta Resources Inc.,Rosetta Resources Inc. - Common Stock,Q,N,N,100.0
ROST,"Ross Stores, Inc.","Ross Stores, Inc. - Common Stock",Q,N,N,100.0
ROYL,"Royale Energy, Inc.","Royale Energy, Inc. - Common Stock",S,N,N,100.0
RPRX,Repros Therapeutics Inc.,Repros Therapeutics Inc. - Common Stock,S,N,N,100.0
RRGB,"Red Robin Gourmet Burgers, Inc.","Red Robin Gourmet Burgers, Inc. - Common Stock",Q,N,N,100.0
RTGN,"Ruthigen, Inc.","Ruthigen, Inc. - Common Stock",S,N,N,100.0
RUSHA,"Rush Enterprises, Inc.","Rush Enterprises, Inc. - Class A Common Stock",Q,N,N,100.0
RUSHB,"Rush Enterprises, Inc.","Rush Enterprises, Inc. - Class B Common Stock",Q,N,N,100.0
RVNC,"Revance Therapeutics, Inc.","Revance Therapeutics, Inc. - Common Stock",G,N,N,100.0
RVSB,Riverview Bancorp Inc,Riverview Bancorp Inc - Common Stock,Q,N,N,100.0
RWLK,ReWalk Robotics Ltd,ReWalk Robotics Ltd - Ordinary Shares,G,N,N,100.0
RYAAY,Ryanair Holdings plc,"Ryanair Holdings plc - American Depositary Shares, each representing five Ordinary Shares",Q,N,N,100.0
SABR,Sabre Corporation,Sabre Corporation - Common Stock,Q,N,N,100.0
SAFT,"Safety Insurance Group, Inc.","Safety Insurance Group, Inc. - Common Stock",Q,N,N,100.0
SAGE,"Sage Therapeutics, Inc.","Sage Therapeutics, Inc. - Common Stock",G,N,N,100.0
SAIA,"Saia, Inc.","Saia, Inc. - Common Stock",Q,N,N,100.0
SALM,Salem Communications Corporation,Salem Communications Corporation - Class A Common Stock,G,N,N,100.0
SAMG,Silvercrest Asset Management Group Inc.,Silvercrest Asset Management Group Inc. - Common Stock,G,N,N,100.0
SANM,Sanmina Corporation,Sanmina Corporation - Common Stock,Q,N,N,100.0
SANW,S&W Seed Company,S&W Seed Company - Common Stock,S,N,N,100.0
SASR,"Sandy Spring Bancorp, Inc.","Sandy Spring Bancorp, Inc. - Common Stock",Q,N,N,100.0
SATS,EchoStar Corporation,EchoStar Corporation - common stock,Q,N,N,100.0
SAVE,"Spirit Airlines, Inc.","Spirit Airlines, Inc. - Common Stock",Q,N,N,100.0
SBAC,SBA Communications Corporation,SBA Communications Corporation - Common Stock,Q,N,N,100.0
SBCF,Seacoast Banking Corporation of Florida,Seacoast Banking Corporation of Florida - Common Stock,Q,N,N,100.0
SBFG,"SB Financial Group, Inc.","SB Financial Group, Inc. - Common Stock",S,N,N,100.0
SBGI,"Sinclair Broadcast Group, Inc.","Sinclair Broadcast Group, Inc. - Class A Common Stock",Q,N,N,100.0
SBLK,Star Bulk Carriers Corp.,Star Bulk Carriers Corp. - Common Stock,Q,N,N,100.0
SBNY,Signature Bank,Signature Bank - Common Stock,Q,N,N,100.0
SBRA,"Sabra Healthcare REIT, Inc.","Sabra Healthcare REIT, Inc. - Common Stock",Q,N,N,100.0
SBSI,"Southside Bancshares, Inc.","Southside Bancshares, Inc. - Common Stock",Q,N,N,100.0
SBUX,Starbucks Corporation,Starbucks Corporation - Common Stock,Q,N,N,100.0
SCHL,Scholastic Corporation,Scholastic Corporation - Common Stock,Q,N,N,100.0
SCOR,"comScore, Inc.","comScore, Inc. - Common Stock",Q,N,N,100.0
SCSC,"ScanSource, Inc.","ScanSource, Inc. - Common Stock",Q,N,N,100.0
SCVL,"Shoe Carnival, Inc.","Shoe Carnival, Inc. - Common Stock",Q,N,N,100.0
SCYX,"SCYNEXIS, Inc.","SCYNEXIS, Inc. - Common Stock",G,N,N,100.0
SEAC,"SeaChange International, Inc.","SeaChange International, Inc. - Common Stock",Q,N,N,100.0
SEED,Origin Agritech Limited,Origin Agritech Limited - Common Stock,Q,N,N,100.0
SEIC,SEI Investments Company,SEI Investments Company - Common Stock,Q,N,N,100.0
SEMI,SunEdison Semiconductor Limited,SunEdison Semiconductor Limited - Ordinary Shares,Q,N,N,100.0
SENEA,Seneca Foods Corp.,Seneca Foods Corp. - Class A Common Stock,Q,N,N,100.0
SENEB,Seneca Foods Corp.,Seneca Foods Corp. - Class B Common Stock,Q,N,N,100.0
SFBC,"Sound Financial Bancorp, Inc.","Sound Financial Bancorp, Inc. - Common Stock",S,N,N,100.0
SFBS,"ServisFirst Bancshares, Inc.","ServisFirst Bancshares, Inc. - Common Stock",Q,N,N,100.0
SFM,"Sprouts Farmers Market, Inc.","Sprouts Farmers Market, Inc. - Common Stock",Q,N,N,100.0
SFNC,Simmons First National Corporation,Simmons First National Corporation - Common Stock,Q,N,N,100.0
SFST,"Southern First Bancshares, Inc.","Southern First Bancshares, Inc. - Common Stock",G,N,N,100.0
SGC,"Superior Uniform Group, Inc.","Superior Uniform Group, Inc. - Common Stock",G,N,N,100.0
SGEN,"Seattle Genetics, Inc.","Seattle Genetics, Inc. - Common Stock",Q,N,N,100.0
SGMA,"SigmaTron International, Inc.","SigmaTron International, Inc. - Common Stock",S,N,N,100.0
SGMO,"Sangamo BioSciences, Inc.","Sangamo BioSciences, Inc. - Common Stock",Q,N,N,100.0
SGRP,"SPAR Group, Inc.","SPAR Group, Inc. - Common Stock",S,N,N,100.0
SHBI,Shore Bancshares Inc,Shore Bancshares Inc - Common Stock,Q,N,N,100.0
SHEN,Shenandoah Telecommunications Co,Shenandoah Telecommunications Co - Common Stock,Q,N,N,100.0
SHIP,Seanergy Maritime Holdings Corp,Seanergy Maritime Holdings Corp - Common Stock,S,N,N,100.0
SHLD,Sears Holdings Corporation,Sears Holdings Corporation - Common Stock,Q,N,N,100.0
SHOO,"Steven Madden, Ltd.","Steven Madden, Ltd. - Common Stock",Q,N,N,100.0
SIEB,Siebert Financial Corp.,Siebert Financial Corp. - Common Stock,S,N,N,100.0
SIEN,"Sientra, Inc.","Sientra, Inc. - Common Stock",Q,N,N,100.0
SIFI,"SI Financial Group, Inc.","SI Financial Group, Inc. - Common Stock",G,N,N,100.0
SIFY,Sify Technologies Limited,"Sify Technologies Limited - American Depository Shares, each represented by one Equity Share",Q,N,N,100.0
SIGA,SIGA Technologies Inc.,SIGA Technologies Inc. - Common Stock,G,N,Q,100.0
SIGI,"Selective Insurance Group, Inc.","Selective Insurance Group, Inc. - Common Stock",Q,N,N,100.0
SILC,Silicom Ltd,Silicom Ltd - Ordinary Shares,Q,N,N,100.0
SIMO,Silicon Motion Technology Corporation,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares",Q,N,N,100.0
SIRI,Sirius XM Holdings Inc.,Sirius XM Holdings Inc. - Common Stock,Q,N,N,100.0
SKOR,FlexShares Credit,FlexShares Credit-Scored US Corporate Bond Index Fund,G,N,N,100.0
SKYW,"SkyWest, Inc.","SkyWest, Inc. - Common Stock",Q,N,N,100.0
SKYY,First Trust ISE Cloud Computing Index Fund,First Trust ISE Cloud Computing Index Fund,G,N,N,100.0
SLAB,"Silicon Laboratories, Inc.","Silicon Laboratories, Inc. - Common Stock",Q,N,N,100.0
SLGN,Silgan Holdings Inc.,Silgan Holdings Inc. - Common Stock,Q,N,N,100.0
SLM,SLM Corporation,SLM Corporation - Common Stock,Q,N,N,100.0
SLMBP,SLM Corporation,"SLM Corporation - Floating Rate Non-Cumulative Preferred Stock, Series B",Q,N,N,100.0
SLP,"Simulations Plus, Inc.","Simulations Plus, Inc. - Common Stock",S,N,N,100.0
SLRC,Solar Capital Ltd.,Solar Capital Ltd. - Common Stock,Q,N,N,100.0
SLVO,Credit Suisse AG,Credit Suisse AG - Credit Suisse Silver Shares Covered Call Exchange Traded Notes,G,N,N,100.0
SMBC,"Southern Missouri Bancorp, Inc.","Southern Missouri Bancorp, Inc. - Common Stock",G,N,N,100.0
SMCI,"Super Micro Computer, Inc.","Super Micro Computer, Inc. - Common Stock",Q,N,N,100.0
SMIT,"Schmitt Industries, Inc.","Schmitt Industries, Inc. - Common Stock",S,N,N,100.0
SMLR,"Semler Scientific, Inc.","Semler Scientific, Inc. - Common Stock",S,N,N,100.0
SMMF,"Summit Financial Group, Inc.","Summit Financial Group, Inc. - Common Stock",S,N,N,100.0
SMPL,Simplicity Bancorp Inc.,Simplicity Bancorp Inc. - Common Stock,Q,N,N,100.0
SMRT,"Stein Mart, Inc.","Stein Mart, Inc. - Common Stock",Q,N,N,100.0
SMSI,"Smith Micro Software, Inc.","Smith Micro Software, Inc. - Common Stock",Q,N,D,100.0
SMTC,Semtech Corporation,Semtech Corporation - Common Stock,Q,N,N,100.0
SNCR,"Synchronoss Technologies, Inc.","Synchronoss Technologies, Inc. - Common Stock",Q,N,N,100.0
SNFCA,Security National Financial Corporation,Security National Financial Corporation - Class A Common Stock,G,N,N,100.0
SNPS,"Synopsys, Inc.","Synopsys, Inc. - Common Stock",Q,N,N,100.0
SOCL,Global X Social Media Index ETF,Global X Social Media Index ETF,G,N,N,100.0
SOFO,"Sonic Foundry, Inc.","Sonic Foundry, Inc. - Common Stock",S,N,N,100.0
SOHO,Sotherly Hotels Inc.,Sotherly Hotels Inc. - Common Stock,G,N,N,100.0
SOHU,Sohu.com Inc.,Sohu.com Inc. - Common Stock,Q,N,N,100.0
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,iShares PHLX SOX Semiconductor Sector Index Fund,G,N,N,100.0
SP,SP Plus Corporation,SP Plus Corporation - Common Stock,Q,N,N,100.0
SPCB,"SuperCom, Ltd.","SuperCom, Ltd. - Ordinary Shares",S,N,N,100.0
SPDC,"Speed Commerce, Inc.","Speed Commerce, Inc. - Common Stock",G,N,N,100.0
SPLK,Splunk Inc.,Splunk Inc. - Common Stock,Q,N,N,100.0
SPNS,Sapiens International Corporation N.V.,Sapiens International Corporation N.V. - Common Shares,S,N,N,100.0
SPOK,"Spok Holdings, Inc.","Spok Holdings, Inc. - Common Stock",Q,N,N,100.0
SPRO,SmartPros Ltd.,SmartPros Ltd. - Common Stock,S,N,N,100.0
SPSC,"SPS Commerce, Inc.","SPS Commerce, Inc. - Common Stock",Q,N,N,100.0
SPTN,SpartanNash Company,SpartanNash Company - Common Stock,Q,N,N,100.0
SPWH,"Sportsman's Warehouse Holdings, Inc.","Sportsman's Warehouse Holdings, Inc. - Common Stock",Q,N,N,100.0
SPWR,SunPower Corporation,SunPower Corporation - Common Stock,Q,N,N,100.0
SQQQ,ProShares UltraPro Short QQQ,ProShares UltraPro Short QQQ,G,N,N,100.0
SRCE,1st Source Corporation,1st Source Corporation - Common Stock,Q,N,N,100.0
SRCL,"Stericycle, Inc.","Stericycle, Inc. - Common Stock",Q,N,N,100.0
SRDX,"SurModics, Inc.","SurModics, Inc. - Common Stock",Q,N,N,100.0
SRPT,"Sarepta Therapeutics, Inc.","Sarepta Therapeutics, Inc. - Common Stock",Q,N,N,100.0
SSB,South State Corporation,South State Corporation - Common Stock,Q,N,N,100.0
SSBI,Summit State Bank,Summit State Bank - Common Stock,G,N,N,100.0
SSNC,"SS&C Technologies Holdings, Inc.","SS&C Technologies Holdings, Inc. - Common Stock",Q,N,N,100.0
SSYS,"Stratasys, Ltd.","Stratasys, Ltd. - Common Stock",Q,N,N,100.0
STAA,STAAR Surgical Company,STAAR Surgical Company - Common Stock,G,N,N,100.0
STBA,"S&T Bancorp, Inc.","S&T Bancorp, Inc. - Common Stock",Q,N,N,100.0
STEM,"StemCells, Inc.","StemCells, Inc. - Common Stock",S,N,N,100.0
STKL,"SunOpta, Inc.","SunOpta, Inc. - Common Stock",Q,N,N,100.0
STLD,"Steel Dynamics, Inc.","Steel Dynamics, Inc. - Common Stock",Q,N,N,100.0
STLY,"Stanley Furniture Company, Inc.","Stanley Furniture Company, Inc. - Common Stock",Q,N,N,100.0
STRA,"Strayer Education, Inc.","Strayer Education, Inc. - Common Stock",Q,N,N,100.0
STRL,Sterling Construction Company Inc,Sterling Construction Company Inc - Common Stock,Q,N,N,100.0
STRM,"Streamline Health Solutions, Inc.","Streamline Health Solutions, Inc. - Common Stock",S,N,N,100.0
STRS,"Stratus Properties, Inc.","Stratus Properties, Inc. - Common Stock",Q,N,N,100.0
STRT,Strattec Security Corporation,Strattec Security Corporation - Common Stock,G,N,N,100.0
STX,Seagate Technology.,Seagate Technology. - Common Stock,Q,N,N,100.0
STXS,"Stereotaxis, Inc.","Stereotaxis, Inc. - Common Stock",S,N,N,100.0
SUPN,"Supernus Pharmaceuticals, Inc.","Supernus Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0
SURG,"Synergetics USA, Inc.","Synergetics USA, Inc. - Common Stock",S,N,N,100.0
SVA,"Sinovac Biotech, Ltd.","Sinovac Biotech, Ltd. - Ordinary Shares (Antigua/Barbudo)",Q,N,N,100.0
SVVC,"Firsthand Technology Value Fund, Inc.","Firsthand Technology Value Fund, Inc. - Common Stock",Q,N,N,100.0
SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc. - Common Stock",Q,N,N,100.0
SYBT,"Stock Yards Bancorp, Inc.","Stock Yards Bancorp, Inc. - Common Stock",Q,N,N,100.0
SYNA,Synaptics Incorporated,Synaptics Incorporated - Common Stock,Q,N,N,100.0
SYPR,"Sypris Solutions, Inc.","Sypris Solutions, Inc. - Common Stock",G,N,N,100.0
TACT,TransAct Technologies Incorporated,TransAct Technologies Incorporated - Common Stock,G,N,N,100.0
TAIT,Taitron Components Incorporated,Taitron Components Incorporated - Class A Common Stock,S,N,N,100.0
TAST,"Carrols Restaurant Group, Inc.","Carrols Restaurant Group, Inc. - Common Stock",Q,N,N,100.0
TATT,TAT Technologies Ltd.,TAT Technologies Ltd. - Ordinary Shares,G,N,N,100.0
TAYD,"Taylor Devices, Inc.","Taylor Devices, Inc. - Common Stock",S,N,N,100.0
TBBK,"The Bancorp, Inc.","The Bancorp, Inc. - Common Stock",Q,N,N,100.0
TBIO,"Transgenomic, Inc.","Transgenomic, Inc. - Common Stock",S,N,N,100.0
TBNK,Territorial Bancorp Inc.,Territorial Bancorp Inc. - Common Stock,Q,N,N,100.0
TBPH,"Theravance Biopharma, Inc.","Theravance Biopharma, Inc. - Ordinary Shares",G,N,N,100.0
TCBI,"Texas Capital Bancshares, Inc.","Texas Capital Bancshares, Inc. - Common Stock",Q,N,N,100.0
TCBK,TriCo Bancshares,TriCo Bancshares - Common Stock,Q,N,N,100.0
TCCO,Technical Communications Corporation,Technical Communications Corporation - Common Stock,S,N,N,100.0
TCPC,TCP Capital Corp.,TCP Capital Corp. - Common Stock,Q,N,N,100.0
TCX,Tucows Inc.,Tucows Inc. - Common Stock,S,N,N,100.0
TDIV,First Trust Exchange,First Trust Exchange-Traded Fund VI First Trust NASDAQ Technology Dividend Index Fund,G,N,N,100.0
TECH,Bio,Bio-Techne Corp - Common Stock,Q,N,N,100.0
TEDU,"Tarena International, Inc.","Tarena International, Inc. - American Depositary Shares",Q,N,N,100.0
TENX,"Tenax Therapeutics, Inc.","Tenax Therapeutics, Inc. - Common Stock",S,N,N,100.0
TFSL,TFS Financial Corporation,TFS Financial Corporation - Common Stock,Q,N,N,100.0
TGEN,Tecogen Inc.,Tecogen Inc. - Common Stock,S,N,N,100.0
TGLS,Tecnoglass Inc.,Tecnoglass Inc. - Ordinary Shares,S,N,N,100.0
TGTX,"TG Therapeutics, Inc.","TG Therapeutics, Inc. - Common Stock",S,N,N,100.0
THFF,First Financial Corporation Indiana,First Financial Corporation Indiana - Common Stock,Q,N,N,100.0
THRM,Gentherm Inc,Gentherm Inc - Common Stock,Q,N,N,100.0
THRX,"Theravance, Inc.","Theravance, Inc. - Common Stock",Q,N,N,100.0
THST,Truett,"Truett-Hurst, Inc. - Class A Common Stock",S,N,N,100.0
TIGR,TigerLogic Corporation,TigerLogic Corporation - Common Stock,S,N,D,100.0
TILE,"Interface, Inc.","Interface, Inc. - Common Stock",Q,N,N,100.0
TINY,"Harris & Harris Group, Inc.","Harris & Harris Group, Inc. - Common Stock",G,N,N,100.0
TIPT,Tiptree Financial Inc.,Tiptree Financial Inc. - Class A Common Stock,S,N,N,100.0
TITN,Titan Machinery Inc.,Titan Machinery Inc. - Common Stock,Q,N,N,100.0
TLF,"Tandy Leather Factory, Inc.","Tandy Leather Factory, Inc. - Common Stock",G,N,N,100.0
TLOG,TetraLogic Pharmaceuticals Corporation,TetraLogic Pharmaceuticals Corporation - Common Stock,G,N,N,100.0
TNDM,"Tandem Diabetes Care, Inc.","Tandem Diabetes Care, Inc. - Common Stock",G,N,N,100.0
TNXP,Tonix Pharmaceuticals Holding Corp.,Tonix Pharmaceuticals Holding Corp. - Common Stock,G,N,N,100.0
TOPS,TOP Ships Inc.,TOP Ships Inc. - Common Stock,Q,N,N,100.0
TORM,TOR Minerals International Inc,TOR Minerals International Inc - Common Stock,S,N,N,100.0
TOUR,Tuniu Corporation,Tuniu Corporation - American Depositary Shares,G,N,N,100.0
TOWN,Towne Bank,Towne Bank - Common Stock,Q,N,N,100.0
TQQQ,ProShares UltraPro QQQ,ProShares UltraPro QQQ,G,N,N,100.0
TRAK,"Dealertrack Technologies, Inc.","Dealertrack Technologies, Inc. - Common Stock",Q,N,N,100.0
TREE,"LendingTree, Inc.","LendingTree, Inc. - Common Stock",Q,N,N,100.0
TRIB,Trinity Biotech plc,Trinity Biotech plc - American Depositary Shares each representing 4 A Ordinary Shares,Q,N,N,100.0
TRIP,"TripAdvisor, Inc.","TripAdvisor, Inc. - Common Stock",Q,N,N,100.0
TRMB,Trimble Navigation Limited,Trimble Navigation Limited - Common Stock,Q,N,N,100.0
TRMK,Trustmark Corporation,Trustmark Corporation - Common Stock,Q,N,N,100.0
TRNS,"Transcat, Inc.","Transcat, Inc. - Common Stock",G,N,N,100.0
TROW,"T. Rowe Price Group, Inc.","T. Rowe Price Group, Inc. - Common Stock",Q,N,N,100.0
TRS,TriMas Corporation,TriMas Corporation - Common Stock,Q,N,N,100.0
TRST,TrustCo Bank Corp NY,TrustCo Bank Corp NY - Common Stock,Q,N,N,100.0
TRTL,Terrapin 3 Acquisition Corporation,Terrapin 3 Acquisition Corporation - Class A Common Stock,S,N,N,100.0
TRUE,"TrueCar, Inc.","TrueCar, Inc. - Common Stock",Q,N,N,100.0
TRVN,"Trevena, Inc.","Trevena, Inc. - Common Stock",Q,N,N,100.0
TSBK,"Timberland Bancorp, Inc.","Timberland Bancorp, Inc. - Common Stock",G,N,N,100.0
TSCO,Tractor Supply Company,Tractor Supply Company - Common Stock,Q,N,N,100.0
TSEM,Tower Semiconductor Ltd.,Tower Semiconductor Ltd. - Ordinary Shares,Q,N,N,100.0
TSLA,"Tesla Motors, Inc.","Tesla Motors, Inc. - Common Stock",Q,N,N,100.0
TSRI,"TSR, Inc.","TSR, Inc. - Common Stock",S,N,N,100.0
TTEC,"TeleTech Holdings, Inc.","TeleTech Holdings, Inc. - Common Stock",Q,N,N,100.0
TTEK,"Tetra Tech, Inc.","Tetra Tech, Inc. - Common Stock",Q,N,N,100.0
TTGT,"TechTarget, Inc.","TechTarget, Inc. - Common Stock",G,N,N,100.0
TTMI,"TTM Technologies, Inc.","TTM Technologies, Inc. - Common Stock",Q,N,N,100.0
TTOO,"T2 Biosystems, Inc.","T2 Biosystems, Inc. - Common Stock",G,N,N,100.0
TTWO,Take,"Take-Two Interactive Software, Inc. - Common Stock",Q,N,N,100.0
TUSA,First Trust Total US Market AlphaDEX ETF,First Trust Total US Market AlphaDEX ETF,G,N,N,100.0
TVIX,Credit Suisse AG,Credit Suisse AG - VelocityShares Daily 2x VIX Short Term ETN,G,N,N,100.0
TWER,Towerstream Corporation,Towerstream Corporation - Common Stock,S,N,N,100.0
TWIN,"Twin Disc, Incorporated","Twin Disc, Incorporated - Common Stock",Q,N,N,100.0
TWOU,"2U, Inc.","2U, Inc. - Common Stock",Q,N,N,100.0
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated - Common Stock,Q,N,N,100.0
TXRH,"Texas Roadhouse, Inc.","Texas Roadhouse, Inc. - Common Stock",Q,N,N,100.0
TZOO,Travelzoo Inc.,Travelzoo Inc. - Common Stock,Q,N,N,100.0
UAE,iShares MSCI UAE Capped ETF,iShares MSCI UAE Capped ETF,G,N,N,100.0
UBCP,"United Bancorp, Inc.","United Bancorp, Inc. - Common Stock",S,N,N,100.0
